Volumenindex des Auftragseingangs, Tiefbau
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/11/2012;61,0;-8,5;77,0;0,2;76,4;-28,7;-0,6
01/12/2012;58,0;-11,5;77,3;0,4;76,8;0,6;-0,5
01/01/2013;55,5;-0,4;77,9;0,7;77,8;1,3;-0,1
01/02/2013;69,7;1,6;78,5;0,8;81,1;4,2;2,6
01/03/2013;90,7;-2,9;79,1;0,7;79,9;-1,4;0,9
01/04/2013;88,0;-1,2;79,7;0,7;75,4;-5,6;-4,2
01/05/2013;83,4;-5,9;80,4;0,9;77,8;3,1;-2,6
01/06/2013;96,7;5,3;81,2;1,0;83,8;7,7;2,6
01/07/2013;106,0;15,0;81,8;0,7;84,3;0,6;2,5
01/08/2013;89,1;7,9;82,2;0,5;82,9;-1,7;0,7
01/09/2013;83,4;5,7;82,4;0,3;82,2;-0,8;-0,2
01/10/2013;78,1;-21,1;82,5;0,1;84,3;2,6;1,8
01/11/2013;67,1;10,0;82,6;0,1;82,5;-2,1;-0,0
01/12/2013;67,1;15,7;82,3;-0,3;85,3;3,3;2,9
01/01/2014;58,4;5,2;82,0;-0,5;79,8;-6,4;-2,1
01/02/2014;66,3;-4,9;81,5;-0,6;78,5;-1,6;-2,9
01/03/2014;92,4;1,9;81,1;-0,5;78,7;0,2;-2,3
01/04/2014;97,5;10,8;80,6;-0,5;85,1;8,1;4,5
01/05/2014;90,3;8,3;80,1;-0,7;80,4;-5,5;0,3
01/06/2014;87,1;-9,9;79,7;-0,5;77,5;-3,6;-2,1
01/07/2014;97,8;-7,7;79,4;-0,3;80,6;3,9;1,2
01/08/2014;84,0;-5,7;79,3;-0,1;80,8;0,3;1,5
01/09/2014;82,5;-1,1;79,1;-0,2;80,0;-1,0;0,8
01/10/2014;71,1;-9,0;78,9;-0,3;78,1;-2,3;-0,8
01/11/2014;60,4;-10,0;78,6;-0,4;78,3;0,2;-0,3
01/12/2014;58,4;-13,0;78,4;-0,2;73,5;-6,1;-4,9
01/01/2015;62,9;7,7;78,3;-0,1;80,8;10,0;2,5
01/02/2015;68,5;3,3;78,3;0,0;79,2;-2,1;0,9
01/03/2015;97,5;5,5;78,4;0,1;79,5;0,4;1,1
01/04/2015;86,7;-11,1;78,7;0,5;75,4;-5,1;-3,3
01/05/2015;87,5;-3,1;79,4;0,8;81,2;7,7;1,8
01/06/2015;94,8;8,8;80,4;1,3;80,6;-0,8;0,1
01/07/2015;90,7;-7,3;81,6;1,5;79,0;-1,9;-2,6
01/08/2015;81,8;-2,6;83,0;1,7;82,6;4,5;-0,4
01/09/2015;84,7;2,7;84,4;1,7;83,8;1,5;-0,7
01/10/2015;77,5;9,0;85,8;1,7;83,5;-0,3;-2,3
01/11/2015;71,9;19,0;87,2;1,6;88,0;5,4;0,8
01/12/2015;80,3;37,5;88,4;1,4;92,2;4,8;3,8
01/01/2016;68,3;8,6;89,5;1,3;89,5;-2,9;0,0
01/02/2016;83,6;22,0;90,4;1,0;92,4;3,2;2,0
01/03/2016;113,1;16,0;91,2;0,9;92,1;-0,3;0,9
01/04/2016;107,3;23,8;91,8;0,7;92,2;0,0;0,3
01/05/2016;97,3;11,2;92,3;0,5;91,5;-0,7;-0,8
01/06/2016;109,6;15,6;92,5;0,3;93,2;1,9;0,7
01/07/2016;97,8;7,8;92,8;0,3;91,4;-2,0;-1,4
01/08/2016;92,5;13,1;92,9;0,2;91,9;0,6;-1,0
01/09/2016;90,7;7,1;93,1;0,2;92,8;1,0;-0,3
01/10/2016;90,9;17,3;93,3;0,2;97,8;5,4;4,5
01/11/2016;81,1;12,8;93,4;0,0;93,3;-4,6;-0,1
01/12/2016;81,1;1,0;93,4;0,1;90,5;-3,0;-2,9
