Volumenindex des Auftragseingangs, Bauhauptgewerbe insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/07/2024;89,1;-6,1;86,4;0,3;83,9;-4,2;-2,4
01/08/2024;91,4;-7,0;86,6;0,3;87,2;4,0;0,6
01/09/2024;85,1;-11,6;87,1;0,5;81,6;-6,5;-5,5
01/10/2024;85,9;0,7;87,6;0,6;87,5;7,2;-0,1
01/11/2024;85,6;14,3;88,2;0,6;91,6;4,7;3,4
01/12/2024;87,0;-1,7;88,7;0,6;88,6;-3,2;-0,1
01/01/2025;76,8;9,6;89,1;0,5;91,9;3,7;2,8
01/02/2025;76,8;-1,7;89,7;0,7;88,1;-4,1;-1,6
01/03/2025;114,4;19,8;90,2;0,6;104,6;18,7;14,4
01/04/2025;92,8;3,8;90,7;0,5;90,7;-13,2;0,1
01/05/2025;94,6;6,8;91,1;0,5;91,2;0,5;0,1
01/06/2025;95,4;1,6;91,5;0,4;90,4;-0,9;-1,2
01/07/2025;96,8;8,6;91,9;0,4;92,2;2,0;0,3
01/08/2025;89,8;-1,8;92,4;0,5;88,1;-4,5;-4,3
01/09/2025;104,7;23,0;92,7;0,3;99,3;12,8;6,7
01/10/2025;87,9;2,3;92,7;0,1;91,2;-8,2;-1,5
01/11/2025;88,6;3,5;92,8;0,1;93,7;2,8;1,0
01/12/2025;91,4;5,1;92,8;0,0;92,4;-1,5;-0,5
