datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/01/2014,89.5,2.2,95.9,0.1,95.8,0.7,-0.2
01/02/2014,84.8,2.9,96.0,0.1,96.3,0.6,0.3
01/03/2014,96.4,0.2,96.1,0.1,95.5,-0.9,-0.7
01/04/2014,98.8,4.1,96.2,0.1,97.7,2.4,1.5
01/05/2014,97.7,2.3,96.3,0.1,96.3,-1.4,-0.0
01/06/2014,92.5,0.1,96.4,0.0,96.1,-0.2,-0.3
01/07/2014,97.1,1.0,96.5,0.1,96.0,-0.1,-0.5
01/08/2014,92.7,-0.7,96.6,0.1,96.7,0.8,0.1
01/09/2014,94.2,3.1,96.8,0.2,96.8,0.1,-0.1
01/10/2014,100.8,2.1,97.0,0.2,97.2,0.4,0.1
01/11/2014,98.5,-2.3,97.3,0.2,96.6,-0.6,-0.7
01/12/2014,113.5,3.7,97.5,0.3,97.3,0.7,-0.3
01/01/2015,91.3,2.0,97.9,0.3,98.6,1.4,0.8
01/02/2015,86.6,2.1,98.2,0.3,97.7,-1.0,-0.5
01/03/2015,100.2,3.9,98.5,0.4,98.5,0.9,-0.0
01/04/2015,99.1,0.3,98.9,0.4,98.2,-0.4,-0.8
01/05/2015,98.1,0.4,99.4,0.4,99.5,1.4,0.2
01/06/2015,99.1,7.1,99.8,0.4,100.3,0.8,0.5
01/07/2015,102.5,5.6,100.1,0.4,101.0,0.7,0.8
01/08/2015,95.4,2.9,100.5,0.3,100.3,-0.7,-0.2
01/09/2015,98.6,4.7,100.7,0.3,101.2,0.9,0.4
01/10/2015,104.9,4.1,101.0,0.2,100.9,-0.2,-0.0
01/11/2015,103.5,5.1,101.1,0.2,100.8,-0.1,-0.3
01/12/2015,120.7,6.3,101.3,0.2,101.5,0.7,0.3
01/01/2016,91.7,0.4,101.4,0.2,101.2,-0.4,-0.3
01/02/2016,92.8,7.2,101.6,0.1,102.6,1.4,1.1
01/03/2016,102.5,2.3,101.7,0.1,101.6,-1.0,-0.2
01/04/2016,103.8,4.7,101.8,0.1,101.8,0.2,-0.1
01/05/2016,100.9,2.9,102.0,0.2,101.5,-0.3,-0.5
01/06/2016,101.7,2.6,102.3,0.2,101.6,0.1,-0.7
01/07/2016,101.1,-1.4,102.6,0.3,102.3,0.7,-0.3
01/08/2016,99.8,4.6,102.9,0.3,103.0,0.7,0.1
01/09/2016,100.1,1.5,103.4,0.4,102.4,-0.6,-1.0
01/10/2016,105.8,0.9,103.8,0.4,104.9,2.5,1.1
01/11/2016,109.1,5.4,104.3,0.4,104.0,-0.9,-0.2
01/12/2016,125.5,4.0,104.7,0.4,105.1,1.0,0.3
01/01/2017,96.8,5.6,105.2,0.5,105.0,-0.0,-0.2
01/02/2017,93.2,0.4,105.7,0.4,105.5,0.4,-0.2
01/03/2017,110.1,7.4,106.2,0.5,105.8,0.4,-0.3
01/04/2017,106.0,2.1,106.6,0.4,107.4,1.4,0.7
01/05/2017,109.2,8.2,107.0,0.3,107.3,-0.1,0.3
01/06/2017,106.1,4.3,107.4,0.3,107.3,0.0,-0.0
01/07/2017,105.6,4.5,107.7,0.3,107.8,0.5,0.2
01/08/2017,104.2,4.4,108.0,0.3,107.6,-0.2,-0.4
01/09/2017,106.7,6.6,108.3,0.3,109.8,2.0,1.5
01/10/2017,106.4,0.6,108.5,0.2,106.7,-2.8,-1.8
01/11/2017,115.9,6.2,108.8,0.3,109.1,2.2,0.3
01/12/2017,127.6,1.7,109.1,0.3,109.8,0.6,0.7
01/01/2018,100.6,3.9,109.3,0.2,109.0,-0.7,-0.3
01/02/2018,95.4,2.4,109.6,0.3,108.7,-0.2,-0.9
01/03/2018,113.7,3.3,109.8,0.2,111.6,2.6,1.8
01/04/2018,109.7,3.5,110.1,0.2,108.7,-2.6,-1.4
01/05/2018,110.3,1.0,110.4,0.3,110.6,1.7,0.2
01/06/2018,112.3,5.8,110.7,0.3,111.4,0.7,0.8
01/07/2018,108.8,3.0,110.9,0.2,110.0,-1.3,-0.9
01/08/2018,108.2,3.8,111.2,0.3,110.9,0.8,-0.3
01/09/2018,105.6,-1.0,111.6,0.3,110.8,-0.1,-0.8
01/10/2018,115.1,8.2,111.9,0.3,112.7,1.7,0.8
01/11/2018,120.4,3.9,112.3,0.3,111.9,-0.7,-0.4
01/12/2018,127.1,-0.4,112.6,0.3,111.9,-0.0,-0.8
01/01/2019,105.3,4.7,113.1,0.4,113.1,1.1,-0.0
01/02/2019,101.1,6.0,113.6,0.4,115.4,2.1,1.9
01/03/2019,113.1,-0.5,114.0,0.4,113.2,-1.9,-0.8
01/04/2019,117.4,7.0,114.3,0.3,117.5,3.7,3.1
01/05/2019,115.9,5.1,114.6,0.2,113.4,-3.4,-1.2
01/06/2019,111.7,-0.5,114.7,0.1,114.1,0.6,-0.6
01/07/2019,116.4,7.0,114.8,0.1,114.9,0.7,0.1
01/08/2019,112.8,4.3,114.9,0.1,115.4,0.5,0.6
01/09/2019,109.9,4.1,114.9,0.0,114.4,-0.9,-0.5
01/10/2019,118.0,2.5,115.0,0.1,113.6,-0.7,-1.4
01/11/2019,124.6,3.5,115.3,0.2,115.5,1.6,0.2
01/12/2019,131.3,3.3,115.6,0.3,115.9,0.4,0.3
01/01/2020,109.4,3.9,116.2,0.5,116.8,0.7,0.6
01/02/2020,109.1,7.9,116.9,0.6,126.5,8.4,9.7
01/03/2020,116.3,2.8,117.7,0.7,116.5,-7.9,-1.1
01/04/2020,112.7,-4.0,118.6,0.8,116.0,-0.5,-2.5
01/05/2020,122.3,5.5,119.4,0.7,120.6,4.0,1.2
01/06/2020,120.8,8.1,120.2,0.7,119.5,-1.0,-0.8
01/07/2020,124.8,7.2,121.0,0.6,121.9,2.0,0.9
01/08/2020,118.4,5.0,121.7,0.6,122.7,0.7,1.0
01/09/2020,120.2,9.4,122.4,0.5,123.7,0.8,1.3
01/10/2020,131.2,11.2,122.9,0.4,125.6,1.5,2.6
01/11/2020,134.1,7.6,123.3,0.3,123.8,-1.4,0.5
01/12/2020,140.3,6.9,123.6,0.3,123.4,-0.3,-0.2
01/01/2021,100.7,-8.0,123.8,0.2,111.4,-9.7,-12.4
01/02/2021,102.9,-5.7,124.0,0.1,121.3,8.8,-2.7
01/03/2021,133.4,14.7,124.1,0.1,130.7,7.8,6.6
01/04/2021,119.6,6.1,124.3,0.2,122.7,-6.2,-1.6
01/05/2021,122.1,-0.2,124.7,0.3,120.2,-2.0,-4.5
01/06/2021,131.3,8.7,125.2,0.4,128.3,6.8,3.1
01/07/2021,127.3,2.0,125.8,0.5,125.9,-1.9,0.1
01/08/2021,120.5,1.8,126.5,0.5,125.4,-0.4,-1.1
01/09/2021,121.7,1.2,127.4,0.7,125.3,-0.1,-2.1
01/10/2021,130.3,-0.7,128.3,0.8,127.3,1.7,-1.0
01/11/2021,140.8,5.0,129.3,0.8,129.3,1.6,0.0
