datum,originalwert_messzahlen_2015100,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,restkomponente_bv_41
01/06/2017,106.8,1.7,105.2,0.4,105.5,0.7,0.3
01/07/2017,101.8,6.7,105.6,0.3,106.0,0.4,0.4
01/08/2017,105.5,5.7,105.9,0.3,106.2,0.2,0.3
01/09/2017,107.7,2.8,106.0,0.2,106.1,-0.1,0.1
01/10/2017,105.8,4.6,106.2,0.1,105.9,-0.2,-0.3
01/11/2017,113.3,5.3,106.3,0.1,106.7,0.7,0.4
01/12/2017,104.1,0.2,106.3,-0.0,107.3,0.6,1.1
01/01/2018,99.5,5.9,106.2,-0.1,105.6,-1.6,-0.6
01/02/2018,97.2,1.4,106.2,-0.0,105.2,-0.4,-1.0
01/03/2018,110.1,-4.6,106.2,0.0,106.0,0.8,-0.2
01/04/2018,105.0,7.0,106.3,0.1,105.8,-0.2,-0.5
01/05/2018,105.5,-3.4,106.5,0.1,107.0,1.1,0.5
01/06/2018,109.8,2.8,106.6,0.1,106.8,-0.2,0.2
01/07/2018,105.7,3.8,106.8,0.2,106.5,-0.3,-0.3
01/08/2018,105.3,-0.2,106.9,0.2,106.6,0.1,-0.3
01/09/2018,105.4,-2.1,107.1,0.2,106.9,0.3,-0.2
01/10/2018,113.8,7.6,107.3,0.2,107.5,0.5,0.1
01/11/2018,114.2,0.8,107.5,0.2,107.4,-0.0,-0.1
01/12/2018,100.5,-3.5,107.7,0.2,107.0,-0.4,-0.7
01/01/2019,103.6,4.1,107.8,0.2,108.5,1.4,0.6
01/02/2019,101.3,4.2,107.9,0.1,108.4,-0.0,0.5
01/03/2019,110.4,0.3,108.1,0.1,106.5,-1.8,-1.5
01/04/2019,109.4,4.2,108.3,0.2,110.6,3.8,2.3
01/05/2019,109.4,3.7,108.4,0.1,108.3,-2.0,-0.1
01/06/2019,102.9,-6.3,108.5,0.1,108.2,-0.2,-0.4
01/07/2019,111.7,5.7,108.6,0.1,108.9,0.7,0.3
